id,node,capacity (MW),offer ($/MW),type
A3514_0,Central,48.0,25.7,inflexible
A3514_1,Central,1.6000000000000014,25.87,inflexible
A3514_2,Central,1.6000000000000014,26.04,inflexible
A3514_3,Central,1.5999999999999943,26.21,inflexible
A3514_4,Central,1.6000000000000014,26.37,inflexible
A3514_5,Central,1.6000000000000014,26.54,inflexible
A3514_6,Central,4.0,26.97,inflexible
A3518_0,Central,55.0,17.17,inflexible
A3518_1,Central,13.599999999999994,17.92,inflexible
A3518_2,Central,13.5,18.66,inflexible
A3518_3,Central,13.600000000000009,19.41,inflexible
A3518_4,Central,13.5,20.16,inflexible
A3518_5,Central,13.599999999999994,20.9,inflexible
A3518_6,Central,13.500000000000014,21.65,inflexible
A3518_7,Central,13.599999999999994,22.4,inflexible
A3518_8,Central,13.5,23.14,inflexible
A3519,Central,192.0,20.34,inflexible
A3520,Central,192.0,21.59,inflexible
A3545,Central,79.0,19.56,inflexible
A3566_0,Central,95.0,18.97,inflexible
A3566_1,Central,37.5,19.28,inflexible
A3566_2,Central,37.5,19.59,inflexible
A3566_3,Central,37.5,19.91,inflexible
A3566_4,Central,37.5,20.23,inflexible
A3566_5,Central,37.5,20.55,inflexible
A3566_6,Central,37.5,20.87,inflexible
A3566_7,Central,37.5,21.19,inflexible
A3576,Central,18.0,227.16,flexible
A3582_0,Central,150.0,5.21,inflexible
A3582_1,Central,1010.0,5.55,inflexible
A3589,Central,19.0,148.07,flexible
A3593_0,Central,65.0,63.63,flexible
A3593_1,Central,19.0,64.56,flexible
A3593_2,Central,19.0,65.49,flexible
A3593_3,Central,18.0,66.42,flexible
A3593_4,Central,19.0,67.34,flexible
A3595_0,Central,65.0,64.53,flexible
A3595_1,Central,19.0,65.49,flexible
A3595_2,Central,19.0,66.44,flexible
A3595_3,Central,18.0,67.39,flexible
A3595_4,Central,19.0,68.34,flexible
A3601_0,Central,70.2,19.86,inflexible
A3601_1,Central,4.200000000000003,20.56,inflexible
A3601_2,Central,4.199999999999989,21.46,inflexible
A3607_0,Central,200.0,16.12,inflexible
A3607_1,Central,109.0,16.44,inflexible
A3607_2,Central,109.0,16.75,inflexible
A3607_3,Central,162.0,17.22,inflexible
A3607_4,Central,55.0,25.01,inflexible
A3610_0,Central,150.0,15.52,inflexible
A3610_1,Central,80.0,15.78,inflexible
A3610_2,Central,79.0,16.03,inflexible
A3610_3,Central,126.0,16.43,inflexible
A3610_4,Central,34.0,30.49,inflexible
A3611_0,Central,5.0,132.41,flexible
A3611_1,Central,12.7,132.99,flexible
A3615_0,North,15.0,193.44,flexible
A3615_1,North,0.5999999999999996,196.08,flexible
A3615_2,North,0.5999999999999996,198.71,flexible
A3615_3,North,0.6000000000000014,201.34,flexible
A3615_4,North,0.5999999999999979,203.98,flexible
A3615_5,North,0.6000000000000014,206.61,flexible
A3615_6,North,0.6000000000000014,209.24,flexible
A3615_7,North,0.5999999999999979,211.88,flexible
A3615_8,North,1.0,216.27,flexible
A3626_0,North,55.0,20.31,inflexible
A3626_1,North,3.1000000000000014,20.5,inflexible
A3626_2,North,3.1000000000000014,20.68,inflexible
A3626_3,North,3.0999999999999943,20.87,inflexible
A3626_4,North,3.1000000000000085,21.05,inflexible
A3626_5,North,3.0999999999999943,21.24,inflexible
A3626_6,North,3.0999999999999943,21.42,inflexible
A3626_7,North,3.1000000000000085,21.61,inflexible
A3626_8,North,3.0999999999999943,21.79,inflexible
A3627_0,North,55.0,19.66,inflexible
A3627_1,North,3.1000000000000014,19.87,inflexible
A3627_2,North,3.1000000000000014,20.08,inflexible
A3627_3,North,3.0999999999999943,20.28,inflexible
A3627_4,North,3.1000000000000085,20.49,inflexible
A3627_5,North,3.0999999999999943,20.7,inflexible
A3627_6,North,3.0999999999999943,20.91,inflexible
A3627_7,North,3.1000000000000085,21.12,inflexible
