id,node,capacity (MW),offer ($/MW)
A3595_2,Central,19.0,66.44
A3595_3,Central,18.0,67.39
A3595_4,Central,19.0,68.34
A3601_0,Central,70.2,19.86
A3601_1,Central,4.200000000000003,20.56
A3601_2,Central,4.199999999999989,21.46
A3607_0,Central,200.0,16.12
A3607_1,Central,109.0,16.44
A3607_2,Central,109.0,16.75
A3607_3,Central,162.0,17.22
A3607_4,Central,55.0,25.01
A3610_0,Central,150.0,15.52
A3610_1,Central,80.0,15.78
A3610_2,Central,79.0,16.03
A3610_3,Central,126.0,16.43
A3610_4,Central,34.0,30.49
A3611_0,Central,5.0,132.41
A3611_1,Central,12.7,132.99
A3615_0,North,15.0,193.44
A3615_1,North,0.5999999999999996,196.08
A3615_2,North,0.5999999999999996,198.71
A3615_3,North,0.6000000000000014,201.34
A3615_4,North,0.5999999999999979,203.98
A3615_5,North,0.6000000000000014,206.61
A3615_6,North,0.6000000000000014,209.24
A3615_7,North,0.5999999999999979,211.88
A3615_8,North,1.0,216.27
A3626_0,North,55.0,20.31
A3626_1,North,3.1000000000000014,20.5
A3626_2,North,3.1000000000000014,20.68
A3626_3,North,3.0999999999999943,20.87
A3626_4,North,3.1000000000000085,21.05
A3626_5,North,3.0999999999999943,21.24
A3626_6,North,3.0999999999999943,21.42
A3626_7,North,3.1000000000000085,21.61
A3626_8,North,3.0999999999999943,21.79
A3627_0,North,55.0,19.66
A3627_1,North,3.1000000000000014,19.87
A3627_2,North,3.1000000000000014,20.08
A3627_3,North,3.0999999999999943,20.28
A3627_4,North,3.1000000000000085,20.49
A3627_5,North,3.0999999999999943,20.7
A3627_6,North,3.0999999999999943,20.91
A3627_7,North,3.1000000000000085,21.12
A3627_8,North,3.0999999999999943,21.33
A3628_0,North,55.0,30.23
A3628_1,North,3.1000000000000014,30.39
A3628_2,North,3.1000000000000014,30.56
A3628_3,North,3.0999999999999943,30.72
A3628_4,North,3.1000000000000085,30.88
A3628_5,North,3.0999999999999943,31.05
A3628_6,North,3.0999999999999943,31.21
A3628_7,North,3.1000000000000085,31.37
A3628_8,North,3.0999999999999943,31.54
A3629_0,North,55.0,29.33
A3629_1,North,3.1000000000000014,29.5
A3629_2,North,3.1000000000000014,29.67
A3629_3,North,3.0999999999999943,29.83
A3629_4,North,3.1000000000000085,30.0
A3629_5,North,3.0999999999999943,30.17
A3629_6,North,3.0999999999999943,30.34
A3629_7,North,3.1000000000000085,30.5
A3629_8,North,3.0999999999999943,30.67
A3630_0,North,15.0,195.23
A3630_1,North,0.5,197.45
A3630_2,North,0.5,199.67
A3630_3,North,0.5,201.89
A3630_4,North,0.5,204.1
A3630_5,North,0.5,206.32
A3630_6,North,0.5,208.54
A3630_7,North,0.5,210.76
A3630_8,North,0.8999999999999986,214.75
A3634_0,North,6.0,178.75
A3634_1,North,1.4000000000000004,183.25
A3639_0,North,0.1,302.9
A3639_1,North,6.7,305.98
A3639_2,North,6.7,309.06
A3639_3,North,6.699999999999999,312.13
A3639_4,North,6.699999999999999,315.21
A3639_5,North,6.700000000000003,318.29
A3639_6,North,6.699999999999996,321.37
A3639_7,North,6.700000000000003,324.45
A3639_8,North,6.799999999999997,327.57
A3644_0,Central,40.0,18.57
A3644_1,Central,745.0,18.95
A3645,Central,93.0,19.4
A3646,Central,93.0,19.01
A3647,Central,93.0,19.46
A3652_0,Central,30.0,18.23
A3652_1,Central,7.5,18.76
A3652_2,Central,7.5,19.28
A3652_3,Central,7.5,19.81
A3652_4,Central,7.5,20.33
A3652_5,Central,7.5,20.85
A3652_6,Central,7.5,21.38
A3652_7,Central,7.5,21.9
A3652_8,Central,7.5,22.42
A3653_0,Central,220.0,18.65
A3653_1,Central,22.19999999999999,18.75
A3653_2,Central,22.19999999999999,18.85
A3653_3,Central,22.200000000000045,18.95
A3653_4,Central,22.19999999999999,19.05
A3653_5,Central,22.19999999999999,19.14
A3653_6,Central,22.19999999999999,19.24
A3653_7,Central,22.19999999999999,19.34
A3653_8,Central,22.200000000000045,19.44
A3654_0,Central,70.2,21.94
A3654_1,Central,4.200000000000003,22.7
A3654_2,Central,4.199999999999989,23.68
A3655_0,Central,70.2,21.96
A3655_1,Central,4.200000000000003,22.72
A3655_2,Central,4.199999999999989,23.71
A3657,Central,32.0,380.0
A3666_0,Central,23.0,22.07
