id,node,capacity (MW),offer ($/MW),type,DA,dRT0,RT0,dRT1,RT1,dRT2,RT2,dRT3,RT3,dRT4,RT4,dRT5,RT5,dRT6,RT6,dRT7,RT7,dRT8,RT8,dRT9,RT9,dRT10,RT10,dRT11,RT11,dRT12,RT12,dRT13,RT13,dRT14,RT14,dRT15,RT15,dRT16,RT16,dRT17,RT17,dRT18,RT18,dRT19,RT19,dRT20,RT20,dRT21,RT21,dRT22,RT22,dRT23,RT23,dRT24,RT24,dRT25,RT25,dRT26,RT26,dRT27,RT27,dRT28,RT28,dRT29,RT29,dRT30,RT30,dRT31,RT31,dRT32,RT32,dRT33,RT33,dRT34,RT34,dRT35,RT35,dRT36,RT36,dRT37,RT37,dRT38,RT38,dRT39,RT39,dRT40,RT40,dRT41,RT41,dRT42,RT42,dRT43,RT43,dRT44,RT44,dRT45,RT45,dRT46,RT46,dRT47,RT47,dRT48,RT48,dRT49,RT49,dRT50,RT50,dRT51,RT51,dRT52,RT52,dRT53,RT53,dRT54,RT54,dRT55,RT55,dRT56,RT56,dRT57,RT57,dRT58,RT58,dRT59,RT59,dRT60,RT60,dRT61,RT61,dRT62,RT62,dRT63,RT63,dRT64,RT64,dRT65,RT65,dRT66,RT66,dRT67,RT67,dRT68,RT68,dRT69,RT69,dRT70,RT70,dRT71,RT71,dRT72,RT72,dRT73,RT73,dRT74,RT74,dRT75,RT75,dRT76,RT76,dRT77,RT77,dRT78,RT78,dRT79,RT79,dRT80,RT80,dRT81,RT81,dRT82,RT82,dRT83,RT83,dRT84,RT84,dRT85,RT85,dRT86,RT86,dRT87,RT87,dRT88,RT88,dRT89,RT89,dRT90,RT90,dRT91,RT91,dRT92,RT92,dRT93,RT93,dRT94,RT94,dRT95,RT95,dRT96,RT96,dRT97,RT97,dRT98,RT98,dRT99,RT99,dRT100,RT100
A4602,North,4.8,-2.0,wind,0.0,1.504917743460448,1.504917743460448,1.409281791646205,1.409281791646205,1.6477096636169808,1.6477096636169808,1.488985697856062,1.488985697856062,1.5945055617002017,1.5945055617002017,1.6789948041787488,1.6789948041787488,1.5776788511548006,1.5776788511548006,1.70739250044325,1.70739250044325,1.3568386568280921,1.3568386568280921,1.460148654529169,1.460148654529169,1.6982103985146293,1.6982103985146293,1.328851483851421,1.328851483851421,1.6025692352828225,1.6025692352828225,1.286689903968424,1.286689903968424,1.4520424358763955,1.4520424358763955,1.5495918010412733,1.5495918010412733,1.6468225460613262,1.6468225460613262,1.5248952836074143,1.5248952836074143,1.606386659416113,1.606386659416113,1.6452633582508485,1.6452633582508485,1.422799997618785,1.422799997618785,1.4761889534249093,1.4761889534249093,1.4417727038531416,1.4417727038531416,1.5676605694132095,1.5676605694132095,1.6191762926420399,1.6191762926420399,1.4960401212118954,1.4960401212118954,1.6772813065360688,1.6772813065360688,1.5507300416025447,1.5507300416025447,1.5840610728175588,1.5840610728175588,1.6161243650448203,1.6161243650448203,1.6827345117943806,1.6827345117943806,1.7203564832447094,1.7203564832447094,1.4517780499043953,1.4517780499043953,1.5764752604633272,1.5764752604633272,1.6946698132423346,1.6946698132423346,1.610003320098639,1.610003320098639,1.5982952075453052,1.5982952075453052,1.5602307819387526,1.5602307819387526,1.3533876478775524,1.3533876478775524,1.7539118852901385,1.7539118852901385,1.375831897676124,1.375831897676124,1.611033996615657,1.611033996615657,1.643746140234538,1.643746140234538,1.5178990958978964,1.5178990958978964,1.4434483248134073,1.4434483248134073,1.593991737654679,1.593991737654679,1.5015288742029536,1.5015288742029536,1.6132240763838688,1.6132240763838688,1.5505083847096777,1.5505083847096777,1.501976360753006,1.501976360753006,1.6092044698552495,1.6092044698552495,1.5800192836759313,1.5800192836759313,1.59894777595495,1.59894777595495,1.6042189339485886,1.6042189339485886,1.2052345516079952,1.2052345516079952,1.4317087894793994,1.4317087894793994,1.6892899620116868,1.6892899620116868,1.4468904979895092,1.4468904979895092,1.673270447766979,1.673270447766979,1.6622022525588944,1.6622022525588944,1.7458835585621464,1.7458835585621464,1.5715147664490585,1.5715147664490585,1.6587870445587676,1.6587870445587676,1.78243589382563,1.78243589382563,1.3698831094537338,1.3698831094537338,1.5368930133416012,1.5368930133416012,1.5739276147348722,1.5739276147348722,1.5256365893702957,1.5256365893702957,1.4594910644085632,1.4594910644085632,1.4911159393302245,1.4911159393302245,1.4988804355552163,1.4988804355552163,1.6675856878527555,1.6675856878527555,1.5472776923310163,1.5472776923310163,1.519920118603018,1.519920118603018,1.4508725838632113,1.4508725838632113,1.4757366606135633,1.4757366606135633,1.5531582382987175,1.5531582382987175,1.3841685663637215,1.3841685663637215,1.4573573968453342,1.4573573968453342,1.3955868621123648,1.3955868621123648,1.5865414471906503,1.5865414471906503,1.7634280593180383,1.7634280593180383,1.4365856155242889,1.4365856155242889,1.1277993606054002,1.1277993606054002,1.5859593136452452,1.5859593136452452,1.5497083271150212,1.5497083271150212,1.5829254121771221,1.5829254121771221,1.5690187940868285,1.5690187940868285,1.4040242146090642,1.4040242146090642,1.7340422452214255,1.7340422452214255,1.5264807638378672,1.5264807638378672,1.6715372158124966,1.6715372158124966,1.5239340034157212,1.5239340034157212,1.3550516679887423,1.3550516679887423,1.519670376096863,1.519670376096863,1.3525191419350426,1.3525191419350426,1.306737410079117,1.306737410079117,1.3234167506884538,1.3234167506884538,1.7809495720749404,1.7809495720749404,1.4289117702549203,1.4289117702549203,1.4165971381982316,1.4165971381982316
A4608,North,4.0,60.24,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4611,North,6.0,178.75,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4612,North,15.0,70.89,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4621,North,10.0,0.0,wind,0.0,3.1352452988759296,3.1352452988759296,3.043357423281577,3.043357423281577,3.4320365772407513,3.4320365772407513,3.0685439503289444,3.0685439503289444,3.3007150491782795,3.3007150491782795,3.4591654043786093,3.4591654043786093,3.246212704361483,3.246212704361483,3.532893055258228,3.532893055258228,2.8987303820465513,2.8987303820465513,3.0445258805308413,3.0445258805308413,3.559694365672385,3.559694365672385,2.8800755338507997,2.8800755338507997,3.291992437202225,3.291992437202225,2.7675454086773925,2.7675454086773925,3.066473478354851,3.066473478354851,3.2215383382743994,3.2215383382743994,3.4671082642719284,3.4671082642719284,3.1824046686303973,3.1824046686303973,3.330661502408816,3.330661502408816,3.456419664308669,3.456419664308669,2.949900567725308,2.949900567725308,3.123427574577704,3.123427574577704,3.0199552388210122,3.0199552388210122,3.2993820956172613,3.2993820956172613,3.4586271091623075,3.4586271091623075,3.108205326059988,3.108205326059988,3.49572321309779,3.49572321309779,3.207345880538128,3.207345880538128,3.2962475542836955,3.2962475542836955,3.39225974059741,3.39225974059741,3.5498516869149626,3.5498516869149626,3.7055950425810806,3.7055950425810806,3.0543488823059306,3.0543488823059306,3.2610894470142284,3.2610894470142284,3.4602720186379656,3.4602720186379656,3.393750193219603,3.393750193219603,3.379587971591036,3.379587971591036,3.2577451461535247,3.2577451461535247,2.9179921522608083,2.9179921522608083,3.6140671603482133,3.6140671603482133,2.757316279105339,2.757316279105339,3.4186659500082897,3.4186659500082897,3.46462312777021,3.46462312777021,3.2094364697188666,3.2094364697188666,3.041011249874714,3.041011249874714,3.3468141907188738,3.3468141907188738,3.1507059459937636,3.1507059459937636,3.370610379637128,3.370610379637128,3.193065350763618,3.193065350763618,3.1621496276286507,3.1621496276286507,3.389424879820467,3.389424879820467,3.307168901410364,3.307168901410364,3.252479374199652,3.252479374199652,3.373855404986898,3.373855404986898,2.5767962326835914,2.5767962326835914,2.9915247474308444,2.9915247474308444,3.528242906040532,3.528242906040532,3.0121802488883986,3.0121802488883986,3.5730345738636515,3.5730345738636515,3.4339733836847017,3.4339733836847017,3.7373792766798033,3.7373792766798033,3.2629797265051366,3.2629797265051366,3.4106725155870663,3.4106725155870663,3.537599084010253,3.537599084010253,2.8427832433933418,2.8427832433933418,3.163437856193241,3.163437856193241,3.2561686948045008,3.2561686948045008,3.1508519327785507,3.1508519327785507,3.1095388930272065,3.1095388930272065,3.1314566782247084,3.1314566782247084,3.10350084446236,3.10350084446236,3.437308990965448,3.437308990965448,3.206840213831697,3.206840213831697,3.1714820490541342,3.1714820490541342,2.9686743071700903,2.9686743071700903,3.0879372115567776,3.0879372115567776,3.183424451203223,3.183424451203223,2.9526543677325208,2.9526543677325208,3.010530133497241,3.010530133497241,2.7965319975646707,2.7965319975646707,3.282718772253247,3.282718772253247,3.6044832881384536,3.6044832881384536,2.900007849153212,2.900007849153212,2.6407279103192423,2.6407279103192423,3.3028689932115185,3.3028689932115185,3.2263909090979723,3.2263909090979723,3.2754030209359826,3.2754030209359826,3.2608287654373953,3.2608287654373953,2.95974661220464,2.95974661220464,3.5618867477987806,3.5618867477987806,3.1877372143715093,3.1877372143715093,3.4652275734099476,3.4652275734099476,3.2465788319458397,3.2465788319458397,2.875174785779109,2.875174785779109,3.19603874914867,3.19603874914867,2.8241464200716564,2.8241464200716564,2.8607809942071754,2.8607809942071754,2.834776501137071,2.834776501137071,3.673081055261264,3.673081055261264,2.9984091043929766,2.9984091043929766,2.884382967641727,2.884382967641727
A4626_0,Central,171.0,5.6,inflexible,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0,0.0,171.0
A4626_1,Central,0.0999999999999943,100.0,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4639_0,Central,13.7,-48.73,wind,0.0,4.295286059460027,4.295286059460027,4.046842328540927,4.046842328540927,4.457783782423126,4.457783782423126,4.5656414392239455,4.5656414392239455,3.687397216734788,3.687397216734788,4.6220283555006345,4.6220283555006345,4.756165554515336,4.756165554515336,4.848385353594509,4.848385353594509,4.55473940068721,4.55473940068721,4.067137651313494,4.067137651313494,4.59790619691129,4.59790619691129,4.166375228016573,4.166375228016573,4.344232778620541,4.344232778620541,3.669635918721151,3.669635918721151,4.712169029016227,4.712169029016227,4.561224488147634,4.561224488147634,4.885762135740643,4.885762135740643,4.250713407454203,4.250713407454203,4.8697150662053685,4.8697150662053685,3.9746104057539102,3.9746104057539102,4.416444252970003,4.416444252970003,4.562267403591698,4.562267403591698,4.4664871031235664,4.4664871031235664,4.5026823112887735,4.5026823112887735,4.48350343101934,4.48350343101934,4.213635742631919,4.213635742631919,4.908508584074651,4.908508584074651,4.985213431664726,4.985213431664726,4.841786555822652,4.841786555822652,3.8635138451786113,3.8635138451786113,4.62483440565982,4.62483440565982,4.29501366324159,4.29501366324159,3.895857517250129,3.895857517250129,3.858966404253717,3.858966404253717,4.595451168713744,4.595451168713744,4.83991658466932,4.83991658466932,3.996149581649972,3.996149581649972,4.356057515100948,4.356057515100948,4.292632219392903,4.292632219392903,4.7340273213047945,4.7340273213047945,4.571141656299461,4.571141656299461,3.940898221909244,3.940898221909244,3.903497801606531,3.903497801606531,4.466623058395545,4.466623058395545,4.689665703175109,4.689665703175109,4.2920257127571295,4.2920257127571295,4.460608751819745,4.460608751819745,4.405688339386815,4.405688339386815,4.512200125325864,4.512200125325864,3.86391225131512,3.86391225131512,4.956663136400838,4.956663136400838,4.24925421013595,4.24925421013595,4.630157707236155,4.630157707236155,4.538660657375906,4.538660657375906,4.00040808642801,4.00040808642801,4.547005981973255,4.547005981973255,4.341609975516426,4.341609975516426,4.262021104753186,4.262021104753186,4.315767684061344,4.315767684061344,4.46549251585525,4.46549251585525,4.303778278940062,4.303778278940062,3.887927590323709,3.887927590323709,4.118986513293211,4.118986513293211,4.157036779128306,4.157036779128306,4.018975969080068,4.018975969080068,4.749710457454732,4.749710457454732,5.006553315390535,5.006553315390535,3.619650612468391,3.619650612468391,5.032074767337824,5.032074767337824,4.4494786069208185,4.4494786069208185,4.47583792651436,4.47583792651436,4.796049857017386,4.796049857017386,4.835183858159568,4.835183858159568,4.532412320136391,4.532412320136391,4.754201983675281,4.754201983675281,4.586112971009277,4.586112971009277,4.313090894801377,4.313090894801377,4.958628320222282,4.958628320222282,4.381135697271917,4.381135697271917,3.8006102974374167,3.8006102974374167,4.487271830188175,4.487271830188175,5.053392292894977,5.053392292894977,3.8729232315985582,3.8729232315985582,4.225524384394372,4.225524384394372,4.857602455216114,4.857602455216114,4.4195192398183645,4.4195192398183645,4.288606596035158,4.288606596035158,4.494603362047122,4.494603362047122,4.777963297320665,4.777963297320665,3.787862401555658,3.787862401555658,4.937674225054488,4.937674225054488,4.804895974216175,4.804895974216175,3.7217855286079966,3.7217855286079966,4.652751413265872,4.652751413265872,4.901628503672861,4.901628503672861,4.954903574619739,4.954903574619739,4.3579529049283705,4.3579529049283705,4.681992186576465,4.681992186576465,3.519322592025559,3.519322592025559,3.8420949285920014,3.8420949285920014,4.278008216455659,4.278008216455659
